ITEMID,STOREID,WEEKID,SALES
A110-A100-POS,960511,40,1422.4
B220-B103-POS,960511,40,9695.09
B230-B104-POS,960511,40,7730.14
B220-B103-POS,960554,40,1991.42
B220-B103-POS,960597,40,6862.75
B230-B104-POS,960597,40,2025.74
B218-B103-POS,960640,40,9556.63
B220-B103-POS,960640,40,2876.38
B230-B104-POS,960640,40,1065.9
B218-B103-POS,960683,40,3432.39
B220-B103-POS,960683,40,7978.17
B218-B103-POS,960726,40,1068.51
B219-B103-POS,960726,40,2152.29
B220-B103-POS,960726,40,1552.26
B218-B103-POS,960855,40,6328.07
B220-B103-POS,960855,40,4047.04
B230-B104-POS,960855,40,4541.9
B218-B103-POS,960898,40,9794.69
B220-B103-POS,960898,40,4746.61
B230-B104-POS,960898,40,3412.72
B220-B103-POS,960941,40,1095.58
B220-B103-POS,960984,40,7980.12
B220-B103-POS,961027,40,3264.56
B220-B103-POS,961070,40,5363.92
B230-B104-POS,961070,40,6832.18
B219-B103-POS,961113,40,9160.12
B220-B103-POS,961113,40,9955.67
B226-B104-POS,961113,40,6582.76
B220-B103-POS,961242,40,8269.28
B220-B103-POS,961285,40,3457.03
B220-B103-POS,961328,40,7848.13
A109-A100-POS,961371,40,6649.51
B220-B103-POS,961371,40,2599.47
B219-B103-POS,961414,40,5706.87
B220-B103-POS,961414,40,4494.27
B219-B103-POS,961457,40,7657.18
B220-B103-POS,961457,40,2001.61
B218-B103-POS,961543,40,8924.99
B220-B103-POS,961543,40,7501.31
B220-B103-POS,961586,40,3528.49
B230-B104-POS,961586,40,6783.8
B220-B103-POS,961629,40,4367.52
B230-B104-POS,961629,40,8321.93
A107-A100-POS,961715,40,875.73
B219-B103-POS,961715,40,7093.1
B220-B103-POS,961715,40,1432.9
B230-B104-POS,961715,40,4209.29
B219-B103-POS,961801,40,1550.12
B220-B103-POS,961801,40,2257.07
B230-B104-POS,961801,40,4636.43
B218-B103-POS,961973,40,417.41
B219-B103-POS,961973,40,7621.84
B220-B103-POS,961973,40,1609.56
B220-B103-POS,962059,40,5008.09
B230-B104-POS,962059,40,3213.97
B220-B103-POS,962102,40,3487.54
B230-B104-POS,962102,40,9078.86
B220-B103-POS,962188,40,890.48
B220-B103-POS,962274,40,5596.41
B230-B104-POS,962274,40,8014.2
B220-B103-POS,962317,40,861.16
B226-B104-POS,962317,40,5198.27
A109-A100-POS,962360,40,9010.09
B220-B103-POS,962360,40,8097.06
B226-B104-POS,962360,40,9023.13
B220-B103-POS,962403,40,2140.44
A107-A100-POS,962446,40,7004.7
B218-B103-POS,962446,40,5373.51
B220-B103-POS,962446,40,3242.57
B218-B103-POS,962489,40,3.95
B220-B103-POS,962489,40,1683.99
B230-B104-POS,962489,40,4983.84
B220-B103-POS,962532,40,3221.9
B220-B103-POS,962575,40,6548.1
B220-B103-POS,962747,40,3147.03
B230-B104-POS,962747,40,5334.22
B220-B103-POS,962790,40,1186.53
B218-B103-POS,962833,40,7889.65
B220-B103-POS,962833,40,3731.28
B220-B103-POS,962876,40,5252.08
B230-B104-POS,962876,40,1348.36
B220-B103-POS,962962,40,7842.72
B226-B104-POS,962962,40,3932.58
A101-A100-POS,963005,40,807.18
A107-A100-POS,963005,40,1601.69
B220-B103-POS,963005,40,2596.42
B220-B103-POS,963048,40,3500.25
B230-B104-POS,963048,40,5447.13
B220-B103-POS,963091,40,589.98
B220-B103-POS,963134,40,8888
B220-B103-POS,963220,40,2722.39
B230-B104-POS,963220,40,2132.51
B218-B103-POS,963263,40,2292.88
B219-B103-POS,963263,40,3118.45
B220-B103-POS,963263,40,3126.25
B220-B103-POS,963306,40,198.63
B230-B104-POS,963306,40,7475.32
B220-B103-POS,963349,40,805.8
B220-B103-POS,963392,40,4085.09
B219-B103-POS,963435,40,885.92
B220-B103-POS,963435,40,4311.4
B220-B103-POS,963564,40,8781.33
B218-B103-POS,963607,40,525.38
B220-B103-POS,963607,40,5100.24
B230-B104-POS,963607,40,4503.13
B219-B103-POS,963650,40,8374.64
B220-B103-POS,963650,40,9364.92
B230-B104-POS,963650,40,8886.07
B218-B103-POS,963693,40,7569.98
B220-B103-POS,963693,40,8779.8
B230-B104-POS,963693,40,2531.13
B219-B103-POS,963736,40,3729.7
B220-B103-POS,963736,40,6867.92
B230-B104-POS,963736,40,724.88
B220-B103-POS,963779,40,6852.9
B230-B104-POS,963779,40,653.75
B220-B103-POS,963822,40,4827.3
A105-A100-POS,963865,40,957.78
A107-A100-POS,963865,40,6695.44
B220-B103-POS,963865,40,3742.25
B220-B103-POS,963908,40,2398.1
B230-B104-POS,963908,40,7403.13
B220-B103-POS,963951,40,8176.25
A107-A100-POS,964037,40,2886.79
A118-A101-POS,964037,40,8824.79
B220-B103-POS,964037,40,839.18
B230-B104-POS,964037,40,1382.69
B220-B103-POS,964123,40,8483.37
B219-B103-POS,964209,40,4690.53
B220-B103-POS,964209,40,7489.97
B218-B103-POS,964252,40,8861.72
B220-B103-POS,964252,40,5025.75
B226-B104-POS,964252,40,2108.53
B220-B103-POS,964295,40,1894.37
B220-B103-POS,964338,40,4455.68
A108-A100-POS,964381,40,560.39
B218-B103-POS,964381,40,7387.65
B220-B103-POS,964381,40,5215.69
B230-B104-POS,964381,40,193.08
B218-B103-POS,964467,40,3089.39
B220-B103-POS,964467,40,7070.15
B226-B104-POS,964467,40,1552.38
B220-B103-POS,964510,40,4417.69
B218-B103-POS,964553,40,8919.15
B219-B103-POS,964553,40,9729.66
B220-B103-POS,964553,40,2731.12
B220-B103-POS,964639,40,6811.4
B219-B103-POS,964682,40,1713.4
B220-B103-POS,964682,40,825.94
B218-B103-POS,964854,40,550.28
B220-B103-POS,964854,40,6856.31
B230-B104-POS,964854,40,1620.9
B220-B103-POS,964940,40,6691.01
B230-B104-POS,964940,40,425.51
B220-B103-POS,965112,40,2495.34
B230-B104-POS,965112,40,9920.58
B218-B103-POS,965155,40,7954.15
B220-B103-POS,965155,40,4425.76
B226-B104-POS,965155,40,6766.98
B220-B103-POS,965198,40,7336.76
B230-B104-POS,965198,40,3941.67
B220-B103-POS,965241,40,1482.04
B230-B104-POS,965241,40,4783.51
B220-B103-POS,965284,40,6007.7
B220-B103-POS,831855,40,6077.74
B220-B103-POS,894033,40,8945.66
B220-B103-POS,895108,40,6778.83
B220-B103-POS,895323,40,2503.3
B230-B104-POS,895323,40,3530.47
B220-B103-POS,895366,40,6622.14
B230-B104-POS,895366,40,9549.85
B220-B103-POS,895409,40,1030.42
B230-B104-POS,895409,40,3974.41
B220-B103-POS,895495,40,8662.13
B230-B104-POS,895495,40,4158.25
B218-B103-POS,895538,40,841.05
B220-B103-POS,895538,40,7341.52
B230-B104-POS,895538,40,9546.38
B218-B103-POS,896054,40,2026.79
B220-B103-POS,896054,40,9056.92
B230-B104-POS,896054,40,6883.96
B220-B103-POS,896140,40,2387.32
B218-B103-POS,896183,40,3352.06
B220-B103-POS,896183,40,3159.88
B230-B104-POS,896183,40,3014.9
B218-B103-POS,896269,40,481.31
B220-B103-POS,896269,40,4871.15
B220-B103-POS,896484,40,2960.36
B218-B103-POS,896699,40,221.48
B220-B103-POS,896699,40,1141.3
B220-B103-POS,896785,40,8322.28
B220-B103-POS,896914,40,9722.86
B218-B103-POS,897000,40,1315.86
B220-B103-POS,897000,40,9923.89
B226-B104-POS,897000,40,1052.19
B219-B103-POS,897516,40,8960.48
B220-B103-POS,897516,40,346.74
B230-B104-POS,897516,40,6229.69
B218-B103-POS,897688,40,7427.22
B220-B103-POS,897688,40,483.64
B220-B103-POS,897817,40,7025.48
B219-B103-POS,897989,40,1900.18
B220-B103-POS,897989,40,1221.21
B220-B103-POS,898032,40,2241.67
B226-B104-POS,898032,40,2214.64
B218-B103-POS,898118,40,6724.08
B220-B103-POS,898118,40,3623.06
B226-B104-POS,898118,40,7085.42
B220-B103-POS,898204,40,842.65
B220-B103-POS,898247,40,9966.54
B220-B103-POS,898290,40,4730.82
B220-B103-POS,898333,40,5072.19
B220-B103-POS,898419,40,2142.86
B218-B103-POS,898462,40,4882.13
B220-B103-POS,898462,40,6308.44
B219-B103-POS,898505,40,5912.64
B220-B103-POS,898505,40,1850.85
B230-B104-POS,898505,40,8717.57
B218-B103-POS,898548,40,3451.27
B220-B103-POS,898548,40,3255.52
B218-B103-POS,898591,40,6777.51
B220-B103-POS,898591,40,4822.83
B220-B103-POS,898677,40,7052.02
B220-B103-POS,898720,40,2232.57
B226-B104-POS,898720,40,9271.43
B230-B104-POS,898720,40,5865.14
B220-B103-POS,898849,40,2433.94
B220-B103-POS,898892,40,6193.1
B226-B104-POS,898892,40,538.33
B220-B103-POS,898978,40,7853.45
B220-B103-POS,899107,40,9220.47
B218-B103-POS,899150,40,2138.45
B220-B103-POS,899150,40,5478.6
B220-B103-POS,899193,40,2027.07
B230-B104-POS,899193,40,2015.82
B220-B103-POS,899279,40,76.1
B226-B104-POS,899279,40,2646.57
B220-B103-POS,899322,40,9453.92
B218-B103-POS,899365,40,7328.62
B220-B103-POS,899365,40,6633.32
B220-B103-POS,899451,40,3636.5
B226-B104-POS,899451,40,1943.92
B220-B103-POS,899666,40,8887.26
B220-B103-POS,899709,40,8758.19
B218-B103-POS,899752,40,6580.66
B220-B103-POS,899752,40,9769.03
A109-A100-POS,899795,40,9365.69
B220-B103-POS,899795,40,8796.89
B220-B103-POS,899881,40,5417.4
B226-B104-POS,899881,40,8165.81
B218-B103-POS,906804,40,7418.22
B220-B103-POS,906804,40,5971.5
B219-B103-POS,906847,40,1209.72
B220-B103-POS,906847,40,6502.44
B220-B103-POS,906890,40,8950.25
B226-B104-POS,906890,40,2398.68
B220-B103-POS,906976,40,9793.86
B218-B103-POS,907105,40,9840.94
B220-B103-POS,907105,40,1369.77
B230-B104-POS,907105,40,2293.6
B220-B103-POS,907148,40,750.45
B218-B103-POS,907234,40,8804.33
B220-B103-POS,907234,40,5060.4
B218-B103-POS,907320,40,523.05
B220-B103-POS,907320,40,7394.65
B220-B103-POS,907363,40,5251.39
B218-B103-POS,907449,40,9291.3
B220-B103-POS,907449,40,4178.98
B219-B103-POS,907492,40,4056.96
B220-B103-POS,907492,40,1330.16
B230-B104-POS,907492,40,5012.77
B220-B103-POS,907578,40,4205.2
B230-B104-POS,907578,40,9106.45
B220-B103-POS,907707,40,6766.58
B220-B103-POS,907836,40,6696.14
B226-B104-POS,907836,40,5272.1
B220-B103-POS,908094,40,1038.64
B220-B103-POS,908137,40,8875.65
B220-B103-POS,908223,40,3942.17
B220-B103-POS,908352,40,7705.65
B226-B104-POS,908352,40,1284.11
B230-B104-POS,908352,40,4266.73
B220-B103-POS,908395,40,3342.85
B218-B103-POS,908438,40,2786.55
B220-B103-POS,908438,40,4664.02
B218-B103-POS,908481,40,419.84
B219-B103-POS,908481,40,7011.16
B220-B103-POS,908481,40,8928.56
B220-B103-POS,908524,40,9946.38
B220-B103-POS,908653,40,6940.31
B218-B103-POS,908739,40,7695.74
B220-B103-POS,908739,40,5595.36
B230-B104-POS,908739,40,1124.81
B218-B103-POS,908782,40,7234.83
B220-B103-POS,908782,40,4614.5
B230-B104-POS,908782,40,6842.27
B219-B103-POS,908825,40,4752.91
B220-B103-POS,908825,40,1967
B230-B104-POS,908825,40,3375.06
B220-B103-POS,908954,40,2994.11
B218-B103-POS,909169,40,571.43
B220-B103-POS,909169,40,9765.81
B226-B104-POS,909169,40,5371.87
B220-B103-POS,909341,40,5117.96
B220-B103-POS,909556,40,1577.94
B220-B103-POS,909642,40,6917.25
B218-B103-POS,909728,40,3843.31
B220-B103-POS,909728,40,6948.28
B220-B103-POS,909771,40,984.34
B220-B103-POS,910029,40,5291
B226-B104-POS,910029,40,2403.38
B230-B104-POS,910029,40,1327.9
B220-B103-POS,910158,40,7476.74
B226-B104-POS,910158,40,5983.84
B218-B103-POS,910244,40,4388.02
B220-B103-POS,910244,40,5057.33
B220-B103-POS,910416,40,6700.35
B220-B103-POS,910459,40,2974.37
B219-B103-POS,910588,40,3990.33
B220-B103-POS,910588,40,9376.5
B226-B104-POS,910588,40,7773.14
B218-B103-POS,910631,40,1220.69
B220-B103-POS,910631,40,9292.42
B218-B103-POS,910760,40,3968.62
B220-B103-POS,910760,40,3646.19
B230-B104-POS,910760,40,1052.66
B220-B103-POS,910803,40,9321.96
A108-A100-POS,911018,40,9414.63
A109-A100-POS,911018,40,3146.28
B220-B103-POS,911018,40,1223.68
B230-B104-POS,911018,40,2271.57
B218-B103-POS,919790,40,8515.56
B220-B103-POS,919790,40,2862.58
B220-B103-POS,919876,40,6574.02
B220-B103-POS,919919,40,7165.13
B220-B103-POS,919962,40,4724.49
B230-B104-POS,919962,40,3882.42
B220-B103-POS,920005,40,8026.78
B219-B103-POS,920134,40,6995.51
B220-B103-POS,920134,40,9373.61
B218-B103-POS,920263,40,305.96
B220-B103-POS,920263,40,5871.2
B226-B104-POS,920263,40,4127.03
B218-B103-POS,920564,40,5303.61
B220-B103-POS,920564,40,4254.23
B220-B103-POS,921123,40,9804.54
B230-B104-POS,921123,40,1122.94
B220-B103-POS,921209,40,9119.84
B219-B103-POS,921252,40,2234.65
B220-B103-POS,921252,40,9089.02
B226-B104-POS,921252,40,6312.04
B220-B103-POS,921381,40,2992.65
B230-B104-POS,921381,40,5654.32
B220-B103-POS,921424,40,641.4
B220-B103-POS,921553,40,6964.27
B220-B103-POS,921639,40,1793.13
B230-B104-POS,921639,40,6889.54
B220-B103-POS,921682,40,8014.23
B220-B103-POS,921725,40,7752.32
B220-B103-POS,921811,40,6148.31
B220-B103-POS,921854,40,2918.55
B218-B103-POS,921897,40,8891.33
B220-B103-POS,921897,40,2800.05
B220-B103-POS,922155,40,6476.84
B218-B103-POS,922241,40,9432.72
B220-B103-POS,922241,40,3491.32
B220-B103-POS,922284,40,3289.71
B218-B103-POS,922370,40,8715.02
B220-B103-POS,922370,40,4851.62
B226-B104-POS,922370,40,9371.82
B220-B103-POS,922456,40,2874.21
A118-A101-POS,922499,40,5443.42
B218-B103-POS,922499,40,1116.41
B220-B103-POS,922499,40,6864.54
B218-B103-POS,922542,40,6358.98
B220-B103-POS,922542,40,9736.27
B220-B103-POS,922585,40,4777.72
B220-B103-POS,922671,40,3479.87
B218-B103-POS,922714,40,8530.57
B220-B103-POS,922714,40,5189.36
B220-B103-POS,922800,40,379.72
B220-B103-POS,922929,40,5202.18
B220-B103-POS,922972,40,5452.08
B220-B103-POS,923015,40,9715.69
B218-B103-POS,923058,40,129.8
B220-B103-POS,923058,40,1311.5
B220-B103-POS,923230,40,1227.06
B230-B104-POS,923230,40,2096.66
B220-B103-POS,923316,40,6898.28
B230-B104-POS,923316,40,4121.79
B218-B103-POS,923359,40,3395.3
B220-B103-POS,923359,40,7702.71
B218-B103-POS,923402,40,7594.47
B220-B103-POS,923402,40,903.89
B230-B104-POS,923402,40,7533.09
B220-B103-POS,923445,40,9381.59
B230-B104-POS,923445,40,7742.69
B220-B103-POS,923531,40,1208.68
B230-B104-POS,923531,40,8299.27
B220-B103-POS,923660,40,6116.35
B230-B104-POS,923660,40,618.68
B220-B103-POS,923703,40,3562.5
B230-B104-POS,923703,40,45.84
B220-B103-POS,923746,40,2876.64
B230-B104-POS,923746,40,8367.98
B220-B103-POS,923789,40,3136.36
B230-B104-POS,923789,40,1253.14
B219-B103-POS,923832,40,886.59
B220-B103-POS,923832,40,3220.97
B230-B104-POS,923832,40,506.94
B220-B103-POS,923875,40,6439.12
B226-B104-POS,923875,40,3025.69
B230-B104-POS,923875,40,1528.86
B220-B103-POS,923918,40,5648.99
B230-B104-POS,923918,40,8605.66
B220-B103-POS,923961,40,8543.79
B230-B104-POS,923961,40,2176.86
B220-B103-POS,924004,40,8051.44
B230-B104-POS,924004,40,7922.28
B220-B103-POS,924047,40,2367.8
B230-B104-POS,924047,40,9565.6
B218-B103-POS,924090,40,7524.16
B220-B103-POS,924090,40,2834.37
B230-B104-POS,924090,40,3331.22
B218-B103-POS,924176,40,6166.91
B220-B103-POS,924176,40,5914.79
B220-B103-POS,924305,40,4482.97
B220-B103-POS,924434,40,4482.96
B230-B104-POS,924434,40,1872.6
B220-B103-POS,924520,40,3309.33
B220-B103-POS,924563,40,7537.37
B230-B104-POS,924563,40,2231.89
B220-B103-POS,924649,40,3039.24
B220-B103-POS,924692,40,7684.28
A107-A100-POS,924735,40,5376.27
A109-A100-POS,924735,40,7087.74
A110-A100-POS,924735,40,7621.82
B220-B103-POS,924735,40,4575.88
B219-B103-POS,925036,40,7338.75
B220-B103-POS,925036,40,1540.92
B230-B104-POS,925036,40,8081.64
B218-B103-POS,925079,40,4395.67
B220-B103-POS,925079,40,680.7
B230-B104-POS,925079,40,4590.62
B220-B103-POS,925122,40,1503.16
B230-B104-POS,925122,40,5814.29
B220-B103-POS,925251,40,1290.51
B230-B104-POS,925251,40,5587.87
B220-B103-POS,925423,40,2660.29
B220-B103-POS,925466,40,9072.65
B220-B103-POS,925552,40,9492.68
B220-B103-POS,925595,40,1271.56
B220-B103-POS,925638,40,1325.16
B220-B103-POS,925681,40,6563.46
B230-B104-POS,925681,40,7695.62
B219-B103-POS,925767,40,7137.68
B220-B103-POS,925767,40,9824.91
B219-B103-POS,925853,40,1166.23
B220-B103-POS,925853,40,8207.74
B220-B103-POS,925896,40,3084.69
B230-B104-POS,925896,40,5338.87
B218-B103-POS,925939,40,5593.68
B220-B103-POS,925939,40,904.05
B220-B103-POS,926068,40,4398.65
B218-B103-POS,926197,40,1186.01
B220-B103-POS,926197,40,8995.55
B218-B103-POS,926240,40,913.22
B220-B103-POS,926240,40,668.58
B218-B103-POS,926283,40,9447.69
B220-B103-POS,926283,40,8543.35
B220-B103-POS,926326,40,4813.69
B230-B104-POS,926326,40,2682.79
B219-B103-POS,926369,40,3249.73
B220-B103-POS,926369,40,6195.85
B218-B103-POS,926455,40,8982.93
B220-B103-POS,926455,40,5461.1
B226-B104-POS,926455,40,19.44
B230-B104-POS,926455,40,959.99
B219-B103-POS,926584,40,6631.26
B220-B103-POS,926584,40,9275.51
B220-B103-POS,926799,40,9582.23
B230-B104-POS,926799,40,3511.44
A118-A101-POS,926885,40,238.63
B220-B103-POS,926885,40,4309.45
B226-B104-POS,926885,40,3664.23
B220-B103-POS,926928,40,4462.24
B230-B104-POS,926928,40,5784.75
B220-B103-POS,927014,40,2541.63
B220-B103-POS,927057,40,1334.11
B218-B103-POS,927143,40,3646.9
B219-B103-POS,927143,40,5826.48
B220-B103-POS,927143,40,7252.03
B230-B104-POS,927143,40,6915.63
B219-B103-POS,927229,40,9727.62
B220-B103-POS,927229,40,4218.3
B230-B104-POS,927229,40,2243.63
B220-B103-POS,927272,40,8736.17
B220-B103-POS,927315,40,7215.35
B220-B103-POS,927401,40,3409.78
B230-B104-POS,927401,40,5722.91
B218-B103-POS,927444,40,847.07
B220-B103-POS,927444,40,3394.13
B220-B103-POS,927487,40,3866.93
B218-B103-POS,927530,40,7422.45
B220-B103-POS,927530,40,6028.61
B220-B103-POS,927573,40,3563.01
A107-A100-POS,927616,40,188.07
B220-B103-POS,927616,40,2684.74
B218-B103-POS,927702,40,9428.62
B220-B103-POS,927702,40,3576.07
A109-A100-POS,927745,40,3241.15
A110-A100-POS,927745,40,1470.63
B220-B103-POS,927745,40,1012.81
A107-A100-POS,927831,40,9747.86
A109-A100-POS,927831,40,9442.91
A110-A100-POS,927831,40,6273.27
B218-B103-POS,927831,40,1220.49
B219-B103-POS,927831,40,1510.76
B220-B103-POS,927831,40,9825.77
B226-B104-POS,927831,40,2299.85
B230-B104-POS,927831,40,1355.96
A107-A100-POS,927874,40,7626.61
B220-B103-POS,927874,40,6115.56
B218-B103-POS,927960,40,111.97
B220-B103-POS,927960,40,845.24
B220-B103-POS,928046,40,6586.82
B220-B103-POS,928089,40,1530.1
B220-B103-POS,928261,40,3093.8
B218-B103-POS,928390,40,6221.07
B220-B103-POS,928390,40,5115.25
B218-B103-POS,928519,40,5809.1
B220-B103-POS,928519,40,8718.17
B218-B103-POS,928562,40,3157.91
B220-B103-POS,928562,40,9568.21
B218-B103-POS,928605,40,9430.43
B220-B103-POS,928605,40,4002.02
A107-A100-POS,928691,40,5860.63
B218-B103-POS,928691,40,3834.67
B220-B103-POS,928691,40,7275.16
B220-B103-POS,928777,40,693.62
B218-B103-POS,928949,40,1584.37
B220-B103-POS,928949,40,4848.73
B220-B103-POS,929465,40,7027.48
B220-B103-POS,929594,40,1231.78
B226-B104-POS,929594,40,5729.86
B220-B103-POS,929766,40,2925.59
B220-B103-POS,929852,40,9715.53
B219-B103-POS,929938,40,1805.14
B220-B103-POS,929938,40,9114.18
B220-B103-POS,930024,40,3772.43
B226-B104-POS,930024,40,8583.14
B230-B104-POS,930024,40,6790.12
B220-B103-POS,930110,40,6281.81
B220-B103-POS,930325,40,4558.23
B220-B103-POS,930497,40,3195.14
B226-B104-POS,930497,40,5953.71
B230-B104-POS,930497,40,7274.48
B218-B103-POS,930798,40,4025.99
B220-B103-POS,930798,40,1069.03
B220-B103-POS,930841,40,1486.15
B220-B103-POS,931013,40,840.83
B220-B103-POS,931056,40,2728.38
B220-B103-POS,931099,40,3624.72
B219-B103-POS,931142,40,3214.26
B220-B103-POS,931142,40,7451.85
B220-B103-POS,931228,40,1109.5
B220-B103-POS,931271,40,373.19
B220-B103-POS,931314,40,2043.02
B226-B104-POS,931314,40,3490.85
B220-B103-POS,931400,40,4857.56
B230-B104-POS,931400,40,2127.28
B220-B103-POS,931443,40,5867.17
B230-B104-POS,931443,40,587.25
B220-B103-POS,931486,40,7277.73
B220-B103-POS,931701,40,9716.91
B230-B104-POS,931701,40,4860.39
B218-B103-POS,931744,40,7566.44
B220-B103-POS,931744,40,8454.91
B220-B103-POS,931787,40,6362.01
B218-B103-POS,931830,40,2794.56
B220-B103-POS,931830,40,7957.51
B220-B103-POS,931873,40,4789.03
B218-B103-POS,931959,40,9048.86
B219-B103-POS,931959,40,4911.52
B220-B103-POS,931959,40,924.11
B220-B103-POS,932002,40,4902.52
B218-B103-POS,932260,40,5666.78
B220-B103-POS,932260,40,3045.06
B226-B104-POS,932260,40,121.38
B220-B103-POS,932346,40,1153.53
B220-B103-POS,932389,40,5569.83
B220-B103-POS,932518,40,9417.85
B230-B104-POS,932518,40,6827.62
B220-B103-POS,932647,40,4181.55
A108-A100-POS,932776,40,5977.87
B218-B103-POS,932776,40,2348.82
B219-B103-POS,932776,40,1467.27
B220-B103-POS,932776,40,8409.45
B218-B103-POS,932862,40,9541.13
B220-B103-POS,932862,40,7854.41
B226-B104-POS,932862,40,8741.86
B230-B104-POS,932862,40,3799.82
B218-B103-POS,932905,40,7873.29
B220-B103-POS,932905,40,8712.2
B220-B103-POS,932948,40,6585.34
B226-B104-POS,932948,40,7603.34
B218-B103-POS,933034,40,2777.22
B220-B103-POS,933034,40,1063.65
B219-B103-POS,933077,40,2767.9
B220-B103-POS,933077,40,853.43
B219-B103-POS,933206,40,2027.69
B220-B103-POS,933206,40,5327.39
B230-B104-POS,933206,40,9577.83
B220-B103-POS,933292,40,4690.36
B230-B104-POS,933292,40,6999.5
B220-B103-POS,933378,40,5357.58
B220-B103-POS,933421,40,9694.89
B219-B103-POS,933464,40,6763.39
B220-B103-POS,933464,40,6689.81
B220-B103-POS,933636,40,4376.78
B230-B104-POS,933636,40,4399.95
B220-B103-POS,933894,40,4988.96
B220-B103-POS,933937,40,5541.69
